PowerOf2,N,KernelTime_ms,TotalTime_ms,CPUTime_ms
10,1024,1.4561,2.8060,0.0155
11,2048,0.0422,1.6530,0.0251
12,4096,0.0072,2.3335,0.0459
13,8192,0.0184,2.3837,0.0974
14,16384,0.0716,2.3077,0.1948
15,32768,0.1447,2.7258,0.4157
16,65536,0.1710,2.4832,0.8543
17,131072,0.1546,3.8111,1.2436
18,262144,0.1830,5.8441,2.5116
19,524288,0.2206,15.7966,5.9870
20,1048576,0.2503,24.8902,13.0298
21,2097152,0.3010,46.4160,22.9627
22,4194304,0.4780,90.8747,51.2197
23,8388608,0.7557,184.5275,91.5692
24,16777216,1.2594,336.6118,201.0398
25,33554432,2.3524,653.1412,412.4652
26,67108864,4.5242,1289.1602,790.7838
27,134217728,8.9213,2743.2983,1617.8275
28,268435456,17.6010,5391.7236,3126.3190
29,536870912,74.0707,12001.0469,7052.6002
30,1073741824,673.4054,72861.9375,15282.4374
