PowerOf2,N,MallocTime_ms,H2DTime_ms,KernelTime_ms,D2HTime_ms,FreeTime_ms,TotalGPUTime_ms,CPUTime_ms
10,1024,1.0804,0.2007,4.3110,0.2129,2.5872,9.1032,0.0137
11,2048,1.1812,0.5908,0.0881,0.3651,0.6541,3.5387,0.0501
12,4096,2.1296,0.4096,0.0461,0.2709,0.8951,5.0028,0.0536
13,8192,2.1440,0.9569,0.0942,0.1656,0.7601,5.0074,0.1142
14,16384,1.5253,0.5195,0.0584,0.2020,0.8997,3.8682,0.2192
15,32768,1.1687,0.9185,0.1665,0.2202,0.7332,3.7602,0.4950
16,65536,1.9534,0.7847,0.2398,0.2910,0.6830,4.7316,0.7160
17,131072,0.8832,0.2954,0.1322,0.3092,0.5878,3.0176,1.4559
18,262144,1.2388,0.7570,0.2843,0.3831,0.7886,4.1911,2.9508
19,524288,2.4304,1.0210,0.1816,0.5083,0.9492,5.7824,5.4509
20,1048576,2.5451,1.7036,0.2367,1.3193,1.3982,8.0295,12.0663
21,2097152,1.9622,2.5942,0.3804,1.2374,0.9771,7.6737,22.7830
22,4194304,3.3672,6.9947,0.4608,2.6420,1.1355,15.2388,48.0497
23,8388608,4.5586,11.9776,0.6955,5.7404,1.1725,24.9673,98.0027
24,16777216,8.5322,23.8804,1.2510,10.8883,1.8584,47.1110,187.3263
25,33554432,10.6454,48.4010,2.4088,18.8025,5.3047,86.1812,381.0835
26,67108864,19.0852,80.6346,4.5649,45.0111,7.2625,157.4234,735.7171
27,134217728,38.0736,169.0865,8.9436,79.9617,14.6211,311.3868,1537.6655
28,268435456,75.7267,351.2137,17.5545,177.7983,28.6177,651.7006,2970.6027
29,536870912,897.8000,1107.0825,99.6823,548.8021,107.8409,2762.0747,7215.4161
